"No.","Time","Source","Destination","Protocol","Length","Info"
"10835","40.380267061","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"10836","40.380403166","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"10837","40.391505548","134.224.67.86","192.168.1.44","UDP","1146","8801  >  57091 Len=1104"
"10838","40.392659785","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10841","40.421514363","134.224.67.86","192.168.1.44","UDP","1145","8801  >  57091 Len=1103"
"10842","40.421662523","134.224.67.86","192.168.1.44","UDP","1145","8801  >  57091 Len=1103"
"10843","40.431269897","134.224.67.86","192.168.1.44","UDP","1145","8801  >  57091 Len=1103"
"10844","40.441334888","134.224.67.86","192.168.1.44","UDP","1145","8801  >  57091 Len=1103"
"10845","40.441498975","134.224.67.86","192.168.1.44","UDP","1177","8801  >  57091 Len=1135"
"10848","40.451565235","134.224.67.86","192.168.1.44","UDP","1157","8801  >  57091 Len=1115"
"10853","40.464869179","134.224.67.86","192.168.1.44","TLSv1.2","160","Application Data"
